transcript_id,transcript_position,read_index,probability_modified
ENST00000393394.5,130,966210.0,0.0026528968010098
ENST00000393394.5,130,966138.0,0.0004641238774639
ENST00000393394.5,130,966140.0,0.0001234029332409
ENST00000393394.5,130,966143.0,0.0000414730420744
ENST00000393394.5,130,966145.0,0.0064631961286068
ENST00000393394.5,130,966802.0,0.0000030547239476
ENST00000393394.5,130,966147.0,0.0003418932610657
ENST00000393394.5,130,966795.0,0.0037321387790143
ENST00000393394.5,130,966148.0,0.0001200955957756
ENST00000393394.5,130,966136.0,0.0003135608276352
ENST00000393394.5,130,966150.0,0.0074535110034049
ENST00000393394.5,130,966154.0,0.1671844571828842
ENST00000393394.5,130,966792.0,0.0066860928200185
ENST00000393394.5,130,966157.0,0.0015339120291173
ENST00000393394.5,130,966791.0,0.0002678605087567
ENST00000393394.5,130,966158.0,0.0002013252524193
ENST00000393394.5,130,966160.0,0.0000171405445144
ENST00000393394.5,130,966161.0,0.0002337905170862
ENST00000393394.5,130,966789.0,0.0020310278050601
ENST00000393394.5,130,966153.0,0.0033567920327187
ENST00000393394.5,130,966133.0,0.0506932958960533
ENST00000393394.5,130,966132.0,0.0001398060849169
ENST00000393394.5,130,966131.0,0.0010007641976699
ENST00000393394.5,130,966094.0,0.0178975630551577
ENST00000393394.5,130,966095.0,0.0000011837048532
ENST00000393394.5,130,966819.0,0.0421167649328709
ENST00000393394.5,130,966098.0,0.0019571296870708
ENST00000393394.5,130,966100.0,0.0007573420298286
ENST00000393394.5,130,966101.0,0.0000019759438601
ENST00000393394.5,130,966103.0,0.0003372309438419
ENST00000393394.5,130,966816.0,0.0032763504423201
ENST00000393394.5,130,966106.0,0.0222973059862852
ENST00000393394.5,130,966108.0,0.0001180476829177
ENST00000393394.5,130,966109.0,0.0040942267514765
ENST00000393394.5,130,966110.0,0.0000835391183500
ENST00000393394.5,130,966111.0,0.0000265732815024
ENST00000393394.5,130,966114.0,0.0000298409377137
ENST00000393394.5,130,966115.0,0.0058432063087821
ENST00000393394.5,130,966124.0,0.0002171167288907
ENST00000393394.5,130,966125.0,0.0000841084111016
ENST00000393394.5,130,966815.0,0.0981265306472778
ENST00000393394.5,130,966810.0,0.0925822928547859
ENST00000393394.5,130,966164.0,0.0008906743023545
ENST00000393394.5,130,966779.0,0.0123326666653156
ENST00000393394.5,130,966165.0,0.0000083270779214
ENST00000393394.5,130,966166.0,0.0049888761714101
ENST00000393394.5,130,966220.0,0.0317571796476841
ENST00000393394.5,130,966221.0,0.0024086253251880
ENST00000393394.5,130,966223.0,0.0478902347385883
ENST00000393394.5,130,966224.0,0.0002110669156536
ENST00000393394.5,130,966763.0,0.0002595328551251
ENST00000393394.5,130,966228.0,0.0016289311461151
ENST00000393394.5,130,966762.0,0.0000253224316111
ENST00000393394.5,130,966231.0,0.0000654235700495
ENST00000393394.5,130,966232.0,0.0007327393395826
ENST00000393394.5,130,966233.0,0.0000384708509955
ENST00000393394.5,130,966234.0,0.0015706156846136
ENST00000393394.5,130,966235.0,0.0094459392130375
ENST00000393394.5,130,966236.0,0.0056183394044638
ENST00000393394.5,130,966237.0,0.0003466630005278
ENST00000393394.5,130,966238.0,0.0053561888635159
ENST00000393394.5,130,966239.0,0.0000068705671765
ENST00000393394.5,130,966243.0,0.0000000112039098
ENST00000393394.5,130,966245.0,0.0002220000314992
ENST00000393394.5,130,966758.0,0.0000360894810001
ENST00000393394.5,130,966217.0,0.0026539729442447
ENST00000393394.5,130,966825.0,0.0752301812171936
ENST00000393394.5,130,966215.0,0.0000279839223367
ENST00000393394.5,130,966213.0,0.0010050217388198
ENST00000393394.5,130,966778.0,0.0038017502520233
ENST00000393394.5,130,966171.0,0.0003935155691579
ENST00000393394.5,130,966172.0,0.0054012150503695
ENST00000393394.5,130,966178.0,0.0004770474042743
ENST00000393394.5,130,966776.0,0.0000602918553341
ENST00000393394.5,130,966183.0,0.0001155153731816
ENST00000393394.5,130,966186.0,0.0023687006905675
ENST00000393394.5,130,966775.0,0.0023926116991788
ENST00000393394.5,130,966187.0,0.1453882604837418
ENST00000393394.5,130,966197.0,0.0542061589658260
ENST00000393394.5,130,966199.0,0.0941265597939491
ENST00000393394.5,130,966769.0,0.0000626899272902
ENST00000393394.5,130,966203.0,0.0027472288347781
ENST00000393394.5,130,966208.0,0.0243084393441677
ENST00000393394.5,130,966209.0,0.0313169807195663
ENST00000393394.5,130,966765.0,0.0066264914348722
ENST00000393394.5,130,966764.0,0.0001195927616209
ENST00000393394.5,130,966211.0,0.0009759212261997
ENST00000393394.5,130,966212.0,0.0005642526666634
ENST00000393394.5,130,966214.0,0.0001276969414903
ENST00000393394.5,130,966250.0,0.1890179812908173
ENST00000393394.5,130,966091.0,0.0008139562560245
ENST00000393394.5,130,966827.0,0.0214684270322323
ENST00000393394.5,130,966892.0,0.0000345511543856
ENST00000393394.5,130,965986.0,0.0058175683952868
ENST00000393394.5,130,965988.0,0.0007797386497259
ENST00000393394.5,130,966646.0,0.0029410514980555
ENST00000393394.5,130,965990.0,0.0048464834690094
ENST00000393394.5,130,965992.0,0.0000031260494779
ENST00000393394.5,130,965994.0,0.0003873943351209
ENST00000393394.5,130,965995.0,0.0012907959753647
ENST00000393394.5,130,965984.0,0.0034084513317794
ENST00000393394.5,130,966882.0,0.0001661447313381
ENST00000393394.5,130,965999.0,0.0325230024755001
